"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,1,3,15,"C",1,8,3,89,1,1,2,6,50,2
1,1,1,2,10,"O",2,9,2,88,2,2,2,1,31,2
1,1,2,2,6,"Q",3,9,2,89,2,2,2,1,27,2
1,1,5,3,8,"H",5,1,1,89,1,2,1,4,1000,1
1,1,2,2,10,"O",1,9,2,87,2,2,1,2,27,2
1,1,1,2,9,"Q",1,9,2,86,2,1,1,1,27,2
1,1,1,2,9,"Q",1,9,2,85,2,1,1,4,27,2
1,1,3,3,9,"S",3,4,2,85,2,1,2,1,27,2
1,1,5,2,8,"Q",3,2,2,85,2,1,2,4,400,2
1,1,1,2,9,"Q",1,9,2,85,2,1,1,1,32,2
1,1,1,2,9,"Q",2,9,2,84,2,1,2,1,27,2
1,1,3,2,20,"J",1,9,2,84,2,1,2,4,40,2
1,1,3,3,20,"Q",2,9,2,85,2,1,1,1,36,2
1,1,3,3,16,"F",2,7,3,85,1,1,1,2,166,2
1,1,1,2,23,"G",1,9,3,84,2,1,2,6,30,2
1,1,1,2,9,"O",3,9,2,84,2,1,1,1,27,2
1,1,1,2,9,"Q",2,9,2,84,2,2,2,1,27,2
1,1,1,2,30,"L",2,9,2,84,2,1,2,4,80,2
1,1,1,3,15,"Q",2,9,2,84,2,1,1,1,27,2
1,1,2,3,0,"Q",1,9,2,84,2,1,1,1,30,2
1,1,3,2,30,"L",1,9,2,84,2,1,2,1,100,2
1,1,3,2,6,"O",4,9,2,84,2,2,1,1,27,2
1,1,5,2,3,"S",1,2,2,84,2,1,1,1,10,2
1,1,5,2,0,"P",4,9,2,84,2,1,2,1,27,2
1,1,0,2,9,"Q",3,4,2,82,2,1,2,4,27,2
1,1,1,2,21,"G",1,9,3,82,1,1,2,6,30,1
1,1,1,2,9,"Q",1,9,2,83,2,1,1,4,27,2
1,1,1,3,9,"O",1,9,2,83,2,2,1,1,27,2
1,1,1,2,9,"Q",1,9,2,83,2,1,1,1,27,2
1,1,1,3,12,"Q",4,9,2,83,2,1,1,1,33,2
1,1,2,2,0,"Q",4,9,2,83,2,1,2,2,12,2
1,1,2,3,12,"Q",2,9,2,83,2,1,2,1,27,2
1,1,3,2,9,"Q",3,9,2,82,2,1,1,4,30,2
1,1,5,2,6,"Q",3,9,2,82,2,1,2,1,30,2
1,1,5,2,9,"Q",1,9,2,83,2,1,2,4,27,2
1,1,1,2,8,"Q",3,9,2,82,2,1,1,4,27,2
1,1,1,2,13,"Q",1,9,2,82,2,1,1,1,33,2
1,1,1,2,20,"O",1,9,2,81,2,2,1,4,101,2
1,1,1,3,8,"O",3,9,2,81,2,1,1,1,30,2
1,1,2,2,9,"S",4,9,2,82,2,1,1,1,33,2
1,1,2,2,12,"G",1,9,2,82,2,1,2,4,48,2
1,1,3,2,50,"I",1,4,2,82,1,1,2,4,150,1
1,1,3,2,9,"Q",3,9,2,81,2,1,1,1,27,2
1,1,3,4,32,"B",1,7,3,82,2,1,2,2,77,2
1,1,3,2,12,"O",3,9,2,81,2,2,1,1,33,2
1,1,3,2,8,"O",6,9,2,81,2,2,1,1,27,2
1,1,3,2,16,"G",1,9,2,82,2,1,2,1,60,2
1,1,3,2,0,"O",2,9,2,81,2,1,1,1,30,2
1,1,1,2,3,"S",3,9,2,81,2,1,1,1,33,2
1,1,1,3,9,"Q",6,9,2,81,2,1,1,1,33,2
1,1,1,2,12,"O",1,9,2,80,2,1,1,1,27,2
1,1,2,2,6,"Q",2,9,2,81,2,1,1,1,27,2
1,1,2,2,9,"Q",3,9,2,80,2,1,1,1,27,2
1,1,2,2,9,"Q",4,9,2,80,2,1,2,1,27,2
1,1,2,2,18,"S",3,9,2,81,2,1,1,1,27,2
1,1,2,3,9,"Q",1,4,2,80,2,1,1,4,27,2
1,1,2,3,10,"S",2,9,2,80,2,1,1,1,27,2
1,1,3,2,9,"Q",4,9,2,80,2,1,2,4,27,2
1,1,3,2,9,"Q",3,9,2,81,2,1,2,4,27,2
1,1,0,2,9,"Q",2,9,2,80,2,1,1,1,32,2
1,1,1,2,5,"O",2,9,2,79,2,1,1,1,16,2
1,1,1,2,12,"S",2,9,2,79,2,1,1,1,27,2
1,1,1,2,20,"Q",1,9,2,80,2,1,1,1,36,2
1,1,1,2,0,"N",1,9,2,80,2,1,1,3,29,2
1,1,1,3,9,"Q",2,9,2,80,2,1,1,1,33,2
1,1,2,2,48,"P",4,9,1,79,1,3,1,4,217,2
1,1,2,2,55,"S",5,9,1,80,1,1,2,4,170,2
1,1,2,2,9,"O",6,9,2,80,2,2,1,4,27,2
1,1,2,2,12,"Q",1,9,2,80,2,1,1,1,27,2
1,1,2,2,12,"Q",2,9,2,79,2,1,2,1,27,2
1,1,2,3,24,"G",1,9,2,80,2,1,2,4,70,2
1,1,2,4,10,"G",1,9,3,80,2,1,2,6,10,2
1,1,3,2,15,"Q",2,9,2,79,2,1,2,4,27,2
1,1,3,2,15,"Q",2,9,2,80,2,1,1,4,44,2
1,1,3,2,38,"N",1,9,1,79,1,1,2,4,190,1
1,1,3,2,9,"Q",2,9,2,79,2,1,2,1,27,2
1,1,3,2,12,"H",3,9,2,79,2,1,2,2,40,2
1,1,3,2,24,"F",3,9,3,79,2,1,2,2,100,2
1,1,5,2,10,"O",1,9,2,80,2,2,1,2,27,2
1,1,5,2,9,"O",4,9,2,79,2,1,1,4,60,2
1,1,0,2,36,"G",1,9,3,79,1,1,2,6,50,2
1,1,0,2,5,"Q",2,9,2,79,2,1,2,4,27,2
1,1,0,2,0,"P",3,9,2,79,2,1,1,1,27,2
1,1,1,2,58,"N",1,9,2,78,1,1,2,4,94,2
1,1,1,2,12,"O",2,9,2,79,2,1,1,4,27,2
1,1,1,2,12,"S",3,9,2,78,2,1,2,1,29,2
1,1,1,2,12,"M",3,9,3,79,2,1,2,2,12,2
1,1,1,2,16,"M",1,9,3,79,1,1,1,2,210,2
1,1,1,3,9,"Q",3,9,2,78,2,1,1,1,27,2
1,1,2,2,9,"Q",4,9,2,78,2,1,1,1,33,2
1,1,2,2,15,"Q",4,9,2,79,2,1,2,1,44,2
1,1,2,2,0,"Q",3,9,2,78,2,1,1,1,30,2
1,1,2,2,9,"O",4,9,2,79,2,2,1,1,27,2
1,1,2,2,15,"O",2,9,2,79,2,1,1,1,46,2
1,1,2,2,15,"Q",2,9,2,78,2,1,1,1,50,2
1,1,3,2,55,"N",2,9,1,79,1,1,1,4,132,2
1,1,3,2,24,"L",1,3,2,78,1,1,2,4,50,1
1,1,3,3,9,"Q",1,9,2,79,2,1,1,4,27,2
