"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,3,2,0,"N",2,9,1,77,1,1,1,4,120,2
1,1,3,2,0,"Q",4,9,2,76,2,1,2,4,20,2
1,1,3,2,6,"Q",1,9,2,77,2,1,1,4,20,2
1,1,3,2,69,"L",2,9,1,76,1,1,1,4,180,1
1,1,5,3,55,"L",1,9,2,76,1,1,2,4,80,1
1,1,5,2,50,"H",1,3,2,77,1,1,2,4,100,1
1,1,0,2,38,"N",2,9,2,75,1,1,2,4,100,1
1,1,0,2,6,"O",1,9,2,76,2,2,1,4,20,2
1,1,1,2,40,"H",5,9,1,76,1,2,2,4,120,2
1,1,1,2,0,"Q",3,9,2,76,2,1,2,4,20,2
1,1,1,4,48,"N",2,9,2,75,1,1,2,4,100,1
1,1,2,2,36,"O",1,3,2,76,2,1,1,4,27,2
1,1,2,2,44,"G",2,9,2,76,1,1,2,4,140,1
1,1,2,2,68,"L",1,9,2,75,1,1,2,4,150,2
1,1,2,2,72,"N",1,9,2,76,1,1,2,4,120,2
1,1,2,2,9,"Q",1,9,2,76,2,1,1,4,20,2
1,1,2,2,9,"Q",5,9,2,75,2,1,1,4,20,2
1,1,2,2,0,"Q",4,4,2,75,2,1,2,4,25,2
1,1,2,3,9,"Q",3,9,2,76,2,1,1,4,20,2
1,1,2,2,9,"O",1,9,2,76,2,2,1,4,20,2
1,1,3,2,36,"K",3,1,1,76,1,1,1,5,420,2
1,1,3,2,40,"N",2,9,1,75,1,1,2,4,150,2
1,1,3,2,8,"Q",2,9,2,76,2,1,1,4,20,2
1,1,3,2,9,"Q",3,9,2,76,2,1,2,4,20,2
1,1,3,2,6,"Q",1,9,2,76,2,1,1,1,20,2
1,1,3,2,13,"O",2,9,2,76,2,2,1,1,38,2
1,1,3,2,3,"Q",4,9,2,75,2,2,1,4,9,2
1,1,3,2,15,"O",4,9,2,76,2,1,1,2,30,2
1,1,5,2,9,"Q",3,9,2,76,2,1,2,4,20,2
1,1,5,2,10,"Q",2,3,2,76,2,1,1,4,20,2
1,1,1,2,54,"N",1,9,2,74,1,1,2,4,90,2
1,1,1,2,6,"O",3,9,2,75,2,1,1,4,20,2
1,1,1,2,6,"Q",3,4,2,74,2,1,1,4,20,2
1,1,1,2,10,"G",1,9,3,75,2,1,2,6,14,2
1,1,1,2,0,"O",3,9,2,74,2,1,1,4,20,2
1,1,1,3,5,"Q",1,9,2,74,2,1,1,1,20,2
1,1,1,3,60,"G",1,9,3,75,1,1,2,6,34,2
1,1,1,3,37,"G",1,9,3,75,1,1,2,2,20,1
1,1,2,2,6,"O",2,9,2,74,2,1,2,4,20,2
1,1,2,2,6,"Q",3,9,2,74,2,2,2,1,20,2
1,1,2,2,9,"O",3,9,2,74,2,1,1,4,20,2
1,1,2,2,9,"Q",5,9,2,75,2,1,1,4,25,2
1,1,2,2,35,"I",2,9,2,75,2,1,2,4,60,2
1,1,2,2,12,"G",1,9,3,75,2,1,2,6,10,2
1,1,2,3,10,"O",3,4,2,74,2,2,1,4,20,2
1,1,3,2,11,"Q",1,9,2,75,2,2,2,4,20,2
1,1,3,2,40,"N",1,9,2,74,1,1,2,4,100,1
1,1,3,2,45,"P",3,3,1,75,1,1,1,4,100,1
1,1,3,2,72,"L",2,8,1,75,1,1,2,4,200,2
1,1,3,2,6,"P",4,9,2,75,2,1,1,4,20,2
1,1,3,2,9,"Q",3,9,2,75,2,1,1,4,20,2
1,1,3,2,48,"H",1,9,2,75,1,1,2,4,110,1
1,1,3,2,12,"Q",4,9,2,75,2,2,2,1,20,2
1,1,3,2,0,"Q",3,9,2,74,2,1,1,1,22,2
1,1,3,4,12,"F",2,7,3,75,1,1,2,2,40,2
1,1,4,2,32,"S",3,1,1,75,1,1,2,5,790,2
1,1,5,2,46,"N",1,9,1,74,1,1,2,4,140,2
1,1,5,2,9,"Q",3,9,2,75,2,2,1,4,21,2
1,1,5,2,24,"G",2,1,1,75,2,1,2,5,180,2
1,1,5,2,36,"Q",3,3,1,74,1,1,2,4,80,1
1,1,5,2,48,"L",2,9,2,74,1,1,2,4,146,1
1,1,6,2,4,"Q",4,4,2,75,2,1,2,4,20,2
1,1,0,2,0,"Q",1,9,2,73,2,1,2,2,20,2
1,1,1,2,16,"A",2,9,3,73,1,1,2,2,150,2
1,1,1,2,30,"N",2,9,2,73,1,1,2,4,100,2
1,1,1,2,40,"A",4,9,2,74,1,1,1,2,150,1
1,1,1,2,6,"O",3,9,2,74,2,2,1,1,20,2
1,1,1,2,9,"Q",4,9,2,73,2,1,2,4,30,2
1,1,1,2,0,"S",3,9,2,73,2,1,1,4,20,2
1,1,1,3,40,"N",3,9,2,73,1,1,2,1,96,2
1,1,1,3,37,"F",1,7,3,74,1,1,2,2,105,2
1,1,2,2,44,"F",1,7,3,74,1,1,2,2,130,2
1,1,2,2,59,"N",2,9,1,73,1,1,1,4,120,2
1,1,2,2,84,"N",4,9,1,73,1,1,1,4,150,2
1,1,2,2,9,"O",4,9,2,74,2,1,1,4,20,2
1,1,2,2,9,"O",5,9,2,73,2,1,1,4,20,2
1,1,2,2,9,"Q",5,9,2,74,2,1,1,4,20,2
1,1,2,2,16,"F",1,7,2,74,2,1,2,2,100,2
1,1,2,2,0,"O",3,9,2,74,2,2,1,4,20,2
1,1,2,4,55,"H",1,9,2,74,1,1,2,4,80,2
1,1,3,2,32,"C",3,8,1,73,1,1,1,4,168,1
1,1,3,2,80,"N",1,9,1,73,1,1,1,4,110,2
1,1,3,2,8,"H",4,9,3,73,2,1,2,2,15,2
1,1,3,2,10,"L",1,9,2,73,2,1,2,4,10,2
1,1,3,2,10,"O",2,9,2,73,2,1,1,4,35,2
1,1,3,2,12,"G",2,9,2,74,2,1,2,4,110,2
1,1,3,2,15,"O",1,9,2,74,2,1,1,4,35,2
1,1,3,2,15,"Q",4,3,2,74,2,1,2,1,36,2
1,1,3,2,32,"G",4,3,2,74,2,1,2,2,175,2
1,1,3,4,12,"F",1,7,2,74,2,1,2,4,60,2
1,1,3,2,35,"N",3,9,1,74,1,1,1,4,130,2
1,1,3,2,40,"N",3,9,1,74,1,1,2,4,110,2
1,1,3,2,40,"N",3,9,1,74,1,1,1,4,160,2
1,1,3,2,24,"H",1,9,2,73,2,1,2,4,40,2
1,1,3,3,48,"H",2,9,1,73,1,1,2,4,100,1
1,1,4,2,48,"N",2,9,1,74,1,1,1,4,155,2
1,1,5,2,32,"B",3,1,1,73,1,1,2,4,350,1
1,1,5,2,6,"N",3,9,2,74,2,1,2,4,22,2
1,1,5,2,0,"C",5,2,1,74,2,2,2,4,400,2
1,1,5,4,45,"L",1,9,1,73,1,1,2,4,149,2
1,1,5,2,30,"N",1,9,1,73,1,1,1,2,50,2
1,1,0,2,9,"G",1,9,3,73,2,1,2,6,7,2
1,1,1,2,50,"O",5,9,1,73,1,1,1,4,125,2
1,1,1,2,16,"N",2,9,3,72,1,1,1,2,150,2
1,1,1,2,24,"N",1,6,2,73,1,1,1,2,170,2
1,1,1,2,36,"G",1,9,2,73,1,1,2,6,70,1
1,1,1,2,44,"L",2,9,2,72,1,1,2,4,150,1
1,1,1,2,55,"H",5,8,1,73,1,4,1,4,120,1
1,1,1,2,60,"N",2,9,1,72,1,1,2,4,140,2
1,1,1,2,9,"Q",4,9,2,72,2,3,1,4,20,2
1,1,1,2,3,"G",1,9,3,72,2,1,2,6,2,2
1,1,1,3,72,"N",2,9,1,73,1,1,1,4,150,2
1,1,1,2,0,"A",2,6,2,73,2,1,2,4,100,2
1,1,2,2,60,"N",2,9,1,72,1,1,2,4,80,2
1,1,2,2,80,"N",2,9,1,73,1,1,2,4,120,2
1,1,2,2,0,"O",4,9,2,73,2,2,1,4,20,2
1,1,2,4,32,"C",2,9,1,73,1,1,2,4,180,1
1,1,2,2,61,"L",1,9,2,72,1,1,2,4,100,1
1,1,2,3,56,"H",3,9,2,73,1,2,1,4,130,1
1,1,3,2,36,"P",1,8,2,72,1,1,2,4,180,1
1,1,3,2,40,"I",5,9,2,72,1,1,2,4,110,1
1,1,3,2,55,"H",5,8,1,72,1,4,1,4,150,2
1,1,3,2,56,"N",4,9,2,72,1,1,2,4,150,1
1,1,3,2,59,"L",1,9,2,72,1,1,2,4,100,1
1,1,3,2,60,"L",3,9,1,72,1,1,1,4,130,2
1,1,3,2,68,"L",3,7,1,73,1,1,2,5,140,1
1,1,3,2,72,"L",1,9,1,73,1,1,2,4,128,2
1,1,3,2,72,"N",1,9,2,73,1,1,2,4,120,2
1,1,3,2,84,"N",6,9,1,72,1,1,1,4,190,2
1,1,3,2,4,"N",2,9,2,72,2,1,2,2,20,2
1,1,3,2,12,"F",1,7,3,73,2,1,2,2,60,2
1,1,3,2,40,"L",2,9,2,72,1,1,2,4,100,1
1,1,3,2,68,"H",4,8,1,72,1,3,1,4,150,1
