"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,0,2,77,9,"O",4,9,2,2,2,1,2,27,2
1,1,0,2,77,0,"Q",3,9,2,2,1,1,4,27,2
1,1,0,3,76,6,"Q",3,9,2,2,1,2,1,27,2
1,1,1,2,77,6,"S",1,9,2,2,1,1,1,27,2
1,1,1,2,76,12,"Q",2,9,2,2,1,2,1,42,2
1,1,1,2,77,8,"N",1,9,3,1,1,2,2,130,2
1,1,1,2,76,0,"O",1,9,2,2,1,1,4,27,2
1,1,1,2,76,0,"O",2,9,2,2,2,1,2,27,2
1,1,1,2,76,0,"Q",1,9,2,2,1,1,4,27,2
1,1,1,3,76,9,"O",4,9,2,2,1,1,1,27,2
1,1,2,2,77,78,"N",1,9,1,1,1,2,4,150,2
1,1,2,2,77,48,"R",4,9,1,1,1,2,2,200,2
1,1,2,2,76,57,"N",3,9,1,1,1,2,4,110,2
1,1,2,2,76,9,"O",6,9,2,2,1,1,1,27,2
1,1,2,2,77,21,"I",2,9,2,2,1,2,4,60,2
1,1,2,3,76,6,"S",5,4,2,2,1,1,1,27,2
1,1,2,2,76,42,"N",2,9,1,1,1,1,1,145,2
1,1,3,2,77,42,"P",3,3,1,1,1,1,4,150,1
1,1,3,2,77,6,"Q",1,9,2,2,1,1,4,27,2
1,1,3,2,76,21,"Q",3,4,2,2,1,2,4,27,2
1,1,3,3,77,40,"N",2,9,2,1,2,2,4,90,2
1,1,5,2,77,45,"M",2,5,1,1,1,1,5,280,1
1,1,5,2,77,6,"Q",1,9,2,2,1,1,4,27,2
1,1,5,2,76,40,"C",5,1,1,1,1,1,4,800,1
1,1,5,2,76,70,"N",3,9,2,1,1,2,4,155,2
1,1,0,2,76,35,"G",1,9,3,1,1,2,2,12,1
1,1,0,2,76,6,"G",1,9,3,2,1,2,6,5,2
1,1,1,2,75,70,"G",1,5,2,1,1,2,4,100,1
1,1,1,2,76,3,"O",6,9,2,2,1,1,1,27,2
1,1,1,2,76,15,"N",1,9,2,2,1,2,4,80,2
1,1,1,2,75,16,"A",2,9,2,2,1,2,2,112,2
1,1,1,2,76,49,"G",1,5,2,1,1,2,4,40,1
1,1,2,2,75,2,"Q",2,9,2,2,1,1,1,9,2
1,1,2,2,75,6,"R",4,9,2,2,2,1,4,27,2
1,1,2,2,76,9,"Q",1,9,2,2,1,2,1,27,2
1,1,2,2,75,0,"Q",1,9,2,2,1,2,1,27,2
1,1,2,2,75,0,"Q",1,9,2,2,1,1,4,27,2
1,1,2,2,75,0,"S",2,9,2,2,1,1,2,27,2
1,1,3,2,75,28,"T",1,9,3,1,1,2,2,70,2
1,1,3,2,75,6,"G",1,9,3,2,1,2,6,20,2
1,1,3,2,75,0,"H",4,9,2,2,1,2,4,67,2
1,1,3,3,75,40,"N",1,9,2,1,1,2,4,90,2
1,1,3,3,75,9,"Q",3,9,2,2,1,2,1,27,2
1,1,3,4,76,25,"F",1,7,2,2,1,2,4,70,2
1,1,3,2,75,6,"O",3,9,2,2,1,1,4,27,2
1,1,3,3,75,60,"H",2,9,1,1,1,2,4,100,1
1,1,4,3,76,0,"M",3,2,2,2,1,2,2,100,2
1,1,5,2,75,36,"H",6,1,1,1,2,1,4,1500,1
1,1,5,2,76,0,"Q",1,4,2,2,1,1,1,25,2
1,1,5,2,76,10,"S",1,5,2,1,1,2,4,100,1
1,1,5,2,76,9,"Q",3,9,2,2,1,1,1,27,2
1,1,5,1,76,47,"Q",4,2,1,1,1,2,5,800,1
1,1,6,2,75,8,"S",3,3,1,2,1,2,4,100,2
1,1,1,2,75,30,"F",2,9,3,1,1,2,2,160,2
1,1,1,2,75,0,"Q",3,5,2,2,1,2,1,43,2
1,1,1,3,75,64,"N",2,9,1,1,1,1,4,180,2
1,1,1,3,75,11,"O",3,9,2,2,2,1,2,27,2
1,1,2,2,74,40,"L",1,9,2,1,1,2,4,130,1
1,1,2,2,75,76,"N",1,9,2,1,1,1,4,150,2
1,1,2,2,75,0,"N",4,9,2,1,1,1,4,90,2
1,1,2,2,75,32,"P",2,8,2,1,1,1,4,150,1
1,1,2,2,75,40,"N",3,9,2,1,1,2,4,170,2
1,1,3,2,74,32,"H",1,9,2,1,1,2,2,100,1
1,1,3,2,75,40,"N",1,9,2,1,1,2,4,160,2
1,1,3,2,75,54,"L",3,8,2,1,1,2,4,167,2
1,1,3,2,74,84,"N",3,9,2,1,1,2,1,175,2
1,1,3,2,75,9,"Q",3,9,2,2,1,1,1,27,2
1,1,3,2,74,12,"O",6,9,2,2,1,1,1,45,2
1,1,3,2,74,32,"P",4,9,1,1,1,2,2,60,2
1,1,3,2,75,40,"G",2,5,1,1,1,1,4,180,1
1,1,3,2,75,3,"Q",3,9,2,2,1,2,1,23,2
1,1,5,2,75,2,"Q",2,9,2,2,1,1,1,10,2
1,1,5,4,74,0,"N",3,9,2,1,1,1,4,170,2
1,1,0,2,74,15,"O",3,9,2,2,1,2,4,42,2
1,1,1,2,74,17,"Q",1,9,2,2,1,1,4,58,2
1,1,1,2,73,24,"N",2,9,1,1,1,2,4,150,2
1,1,1,2,74,40,"G",1,9,3,1,1,2,6,50,1
1,1,1,2,73,60,"L",1,9,2,1,1,2,4,130,1
1,1,1,2,74,9,"Q",3,9,2,2,1,1,1,27,2
1,1,1,2,74,0,"Q",1,9,2,2,1,1,2,27,2
1,1,1,2,73,10,"Q",3,3,1,2,2,1,5,120,2
1,1,1,2,73,15,"P",4,9,2,2,2,1,2,40,2
1,1,2,2,74,40,"G",4,1,1,1,1,2,4,700,1
1,1,2,2,73,45,"F",2,7,3,1,1,2,2,230,2
1,1,2,2,73,56,"P",4,9,2,1,1,2,4,100,2
1,1,2,2,74,9,"Q",1,4,2,2,1,1,4,27,2
1,1,2,2,73,20,"O",4,9,2,2,1,1,1,27,2
1,1,2,2,74,0,"O",2,9,2,2,1,2,1,27,2
1,1,2,4,74,72,"L",2,9,1,1,1,1,4,143,2
1,1,2,2,73,52,"L",1,9,2,1,1,2,4,120,1
1,1,2,2,74,56,"N",1,9,2,1,1,2,4,150,2
1,1,2,3,73,9,"O",2,9,2,2,1,2,1,27,2
1,1,3,2,74,54,"N",1,9,1,1,1,1,4,160,2
1,1,3,2,74,54,"P",4,9,2,1,1,2,4,100,1
1,1,3,2,73,72,"C",4,9,2,1,1,2,4,165,1
1,1,3,2,73,6,"Q",4,4,2,2,1,2,1,27,2
1,1,3,2,73,30,"A",2,6,2,2,1,2,4,100,2
1,1,3,2,74,40,"P",2,8,2,1,1,2,4,150,1
1,1,3,2,74,9,"O",3,9,2,2,1,1,4,27,2
1,1,3,2,74,9,"Q",2,9,2,2,1,1,1,27,2
1,1,3,3,74,3,"S",1,9,3,2,1,2,6,25,2
1,1,5,2,74,77,"N",3,9,1,1,1,1,4,170,2
1,1,5,2,73,12,"O",4,9,2,2,2,1,2,45,2
1,1,5,2,73,50,"S",3,9,1,1,1,2,4,110,1
